Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,51.1290,0.9136,0.1024,0.5085,0.6533,0.0274,0.4963
2,52.5000,0.5252,0.5248,0.5362,0.5307,0.0500,0.5232
3,50.0404,0.0000,1.0000,0.0000,0.0000,0.0000,0.5031
4,51.0896,0.7134,0.3074,0.5086,0.5938,0.0228,0.5050
5,50.8475,0.5142,0.5031,0.4920,0.5029,0.0173,0.5039
Average,51.1213,0.5333,0.4876,0.4091,0.4561,0.0235,0.5063
