Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,81.8307,0.0340,0.9973,0.7387,0.0650,0.1320,0.6499
2,82.2561,0.1304,0.9857,0.6828,0.2190,0.2435,0.7243
3,81.5256,0.0577,0.9961,0.7801,0.1075,0.1792,0.6406
4,83.2875,0.2103,0.9798,0.7103,0.3245,0.3234,0.7689
5,82.2862,0.1135,0.9913,0.7556,0.1974,0.2467,0.7332
Average,82.2372,0.1092,0.9900,0.7335,0.1827,0.2250,0.7034
