Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,64.6966,0.6237,0.6699,0.6505,0.6368,0.2939,0.6882
2,58.2584,0.5577,0.6078,0.5905,0.5736,0.1657,0.6161
3,62.3786,0.5636,0.6827,0.6349,0.5972,0.2481,0.6712
4,61.5220,0.5907,0.6406,0.6290,0.6093,0.2314,0.6443
5,59.6802,0.6348,0.5591,0.5879,0.6105,0.1945,0.6325
Average,61.3072,0.5941,0.6320,0.6186,0.6055,0.2267,0.6505
