Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,90.9927,0.7173,0.9539,0.7801,0.7474,0.6936,0.9360
2,90.7134,0.7096,0.9537,0.7832,0.7446,0.6893,0.9327
3,90.6102,0.6867,0.9585,0.7979,0.7382,0.6842,0.9370
4,90.9540,0.7260,0.9528,0.7841,0.7539,0.6994,0.9376
5,90.7821,0.7321,0.9495,0.7750,0.7530,0.6968,0.9398
Average,90.8105,0.7144,0.9537,0.7841,0.7474,0.6927,0.9366
