Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,78.8580,0.8096,0.7679,0.7746,0.7917,0.5779,0.8602
2,79.5860,0.8081,0.7835,0.7910,0.7994,0.5918,0.8712
3,80.1256,0.8075,0.7951,0.7942,0.8008,0.6026,0.8715
4,79.6973,0.8038,0.7900,0.7979,0.8008,0.5938,0.8671
5,78.8692,0.7702,0.8070,0.7982,0.7839,0.5777,0.8569
Average,79.4272,0.7998,0.7887,0.7912,0.7953,0.5887,0.8654
