Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,62.3472,0.7151,0.5885,0.3990,0.5122,0.2715,0.7215
2,72.3375,0.0242,0.9957,0.6863,0.0468,0.0903,0.6813
3,72.8366,0.3737,0.8734,0.5470,0.4440,0.2813,0.7015
4,74.5052,0.2349,0.9459,0.6310,0.3423,0.2654,0.7177
5,74.8545,0.3318,0.9193,0.6275,0.4341,0.3161,0.7358
Average,71.3762,0.3359,0.8646,0.5781,0.3559,0.2449,0.7116
