Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,84.4111,0.8593,0.8291,0.8320,0.8455,0.6886,0.9097
2,84.3540,0.8509,0.8361,0.8404,0.8456,0.6871,0.9111
3,84.4375,0.8592,0.8299,0.8318,0.8453,0.6892,0.9099
4,84.3375,0.8628,0.8233,0.8344,0.8484,0.6869,0.9145
5,84.5660,0.8548,0.8366,0.8383,0.8465,0.6915,0.9109
Average,84.4212,0.8574,0.8310,0.8354,0.8462,0.6887,0.9112
