Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,77.1096,0.2484,0.9708,0.7646,0.3750,0.3429,0.7272
2,78.1183,0.4000,0.9296,0.6889,0.5061,0.4011,0.7845
3,76.9111,0.4017,0.9194,0.6708,0.5025,0.3846,0.7525
4,74.2918,0.1490,0.9767,0.7162,0.2467,0.2407,0.6504
5,77.0081,0.3398,0.9464,0.7220,0.4621,0.3782,0.7394
Average,76.6878,0.3078,0.9486,0.7125,0.4185,0.3495,0.7308

