Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,50.4032,1.0000,0.0000,0.5040,0.6702,0.0000,0.4903
2,52.9032,0.9464,0.0924,0.5217,0.6726,0.0747,0.4968
3,50.0404,0.0000,1.0000,0.0000,0.0000,0.0000,0.4689
4,50.8475,0.8374,0.1780,0.5058,0.6307,0.0204,0.5231
5,51.9774,0.5376,0.5031,0.5031,0.5198,0.0407,0.5187
Average,51.2343,0.6643,0.3547,0.4069,0.4987,0.0272,0.4996
