Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,78.3051,0.8576,0.6971,0.7655,0.8090,0.5647,0.8110
2,76.7797,0.8103,0.7267,0.7413,0.7743,0.5384,0.8206
3,74.9153,0.8328,0.6700,0.7050,0.7636,0.5082,0.8117
4,80.5085,0.8696,0.7388,0.7738,0.8189,0.6143,0.8441
5,73.7288,0.8233,0.6580,0.6893,0.7504,0.4861,0.7603
Average,76.8475,0.8387,0.6981,0.7350,0.7832,0.5423,0.8095
