Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,70.7192,0.7432,0.6661,0.7178,0.7303,0.4106,0.7439
2,72.2603,0.7530,0.6927,0.7066,0.7291,0.4464,0.7704
3,65.7534,0.7135,0.6030,0.6362,0.6727,0.3184,0.6895
4,64.1267,0.6615,0.6212,0.6343,0.6476,0.2829,0.6721
5,51.9692,0.0000,0.9984,0.0000,0.0000,-0.0281,0.4260
Average,64.9658,0.5743,0.7163,0.5390,0.5559,0.2860,0.6604
