Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,90.7220,0.7002,0.9545,0.7781,0.7371,0.6824,0.9364
2,90.6360,0.7132,0.9519,0.7775,0.7440,0.6878,0.9336
3,90.4813,0.6903,0.9560,0.7894,0.7365,0.6810,0.9343
4,90.7134,0.7053,0.9547,0.7862,0.7436,0.6886,0.9338
5,90.6747,0.7259,0.9497,0.7741,0.7492,0.6925,0.9371
Average,90.6455,0.7070,0.9534,0.7811,0.7421,0.6865,0.9350
