Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,53.9384,0.7175,0.3358,0.5525,0.6243,0.0576,0.5426
2,51.4555,0.8394,0.1952,0.5062,0.6316,0.0452,0.5048
3,55.7363,0.3351,0.7736,0.5902,0.4275,0.1211,0.5602
4,53.1678,0.1942,0.8669,0.5916,0.2924,0.0825,0.5312
5,54.1096,0.1982,0.8569,0.5606,0.2929,0.0734,0.5384
Average,53.6815,0.4569,0.6057,0.5602,0.4537,0.0760,0.5354
