Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,65.6452,0.7696,0.5415,0.6304,0.6931,0.3197,0.6895
2,65.8065,0.7524,0.5594,0.6411,0.6923,0.3181,0.7041
3,66.9088,0.7641,0.5742,0.6418,0.6976,0.3446,0.7128
4,65.5367,0.7778,0.5324,0.6256,0.6935,0.3200,0.7018
5,66.3438,0.6945,0.6344,0.6400,0.6661,0.3291,0.7095
Average,66.0482,0.7517,0.5684,0.6358,0.6885,0.3263,0.7036
