Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,87.6819,0.7558,0.9231,0.7896,0.7723,0.6883,0.9286
2,87.4103,0.7509,0.9221,0.7897,0.7698,0.6836,0.9265
3,86.6317,0.7206,0.9259,0.7991,0.7578,0.6675,0.9228
4,86.2437,0.7287,0.9151,0.7716,0.7496,0.6554,0.9134
5,87.0198,0.7363,0.9251,0.8010,0.7673,0.6787,0.9260
Average,86.9975,0.7385,0.9222,0.7902,0.7634,0.6747,0.9235
