Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,63.3871,0.7952,0.4699,0.6039,0.6865,0.2806,0.6458
2,67.0161,0.7792,0.5561,0.6474,0.7072,0.3445,0.7042
3,65.8596,0.8498,0.4677,0.6145,0.7132,0.3435,0.6918
4,63.6804,0.7327,0.5405,0.6157,0.6691,0.2784,0.6895
5,63.5997,0.6461,0.6266,0.6182,0.6318,0.2725,0.6807
Average,64.7086,0.7606,0.5322,0.6199,0.6816,0.3039,0.6824
