Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,70.4925,0.6323,0.7764,0.7359,0.6802,0.4132,0.7732
2,67.8658,0.6898,0.6673,0.6777,0.6837,0.3573,0.7539
3,67.8327,0.6586,0.6977,0.6808,0.6695,0.3565,0.7519
4,70.6025,0.6730,0.7401,0.7277,0.6993,0.4138,0.7793
5,70.4597,0.7286,0.6808,0.6934,0.7106,0.4098,0.7811
Average,69.4506,0.6765,0.7125,0.7031,0.6887,0.3901,0.7679
