Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,51.8836,0.6212,0.4018,0.5428,0.5793,0.0236,0.5215
2,52.9966,0.5147,0.5450,0.5265,0.5205,0.0597,0.5320
3,50.6849,0.0017,0.9983,0.5000,0.0035,0.0006,0.5219
4,54.0240,0.5378,0.5427,0.5387,0.5383,0.0805,0.5329
5,52.5685,0.4786,0.5691,0.5057,0.4917,0.0478,0.5106
Average,52.4315,0.4308,0.6114,0.5227,0.4267,0.0424,0.5238
