Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,52.2034,0.8418,0.1533,0.5341,0.6536,-0.0068,0.4917
2,51.3559,0.7172,0.3167,0.5036,0.5917,0.0370,0.5111
3,51.5254,0.3554,0.6667,0.5025,0.4163,0.0232,0.4951
4,51.6949,0.2040,0.8385,0.5648,0.2998,0.0549,0.5222
5,52.0339,0.0000,1.0000,0.0000,0.0000,0.0000,0.4794
Average,51.7627,0.4237,0.5950,0.4210,0.3923,0.0217,0.4999
