Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,67.6271,0.7753,0.5620,0.6712,0.7195,0.3464,0.6962
2,67.2881,0.7172,0.6300,0.6520,0.6831,0.3483,0.7117
3,69.1525,0.7805,0.6073,0.6531,0.7111,0.3928,0.7141
4,52.2034,0.5920,0.4502,0.5252,0.5566,0.0426,0.5362
5,52.7119,0.0919,0.9283,0.5417,0.1571,0.0369,0.4959
Average,61.7966,0.5914,0.6356,0.6086,0.5655,0.2334,0.6308
