Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,87.8177,0.7530,0.9260,0.7954,0.7736,0.6908,0.9189
2,86.7507,0.7633,0.9081,0.7639,0.7636,0.6715,0.9224
3,86.4765,0.7306,0.9196,0.7880,0.7582,0.6655,0.9184
4,86.9228,0.7177,0.9289,0.7989,0.7562,0.6689,0.9112
5,87.1362,0.7550,0.9190,0.7926,0.7733,0.6840,0.9207
Average,87.0208,0.7439,0.9203,0.7878,0.7650,0.6762,0.9183
