Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,81.2119,0.1217,0.9697,0.4777,0.1940,0.1673,0.6705
2,81.3966,0.1156,0.9786,0.5600,0.1916,0.1903,0.6336
3,77.4817,0.2493,0.9003,0.3738,0.2991,0.1763,0.6491
4,80.3481,0.1303,0.9623,0.4492,0.2021,0.1592,0.6618
5,80.4254,0.1368,0.9627,0.4657,0.2115,0.1700,0.6457
Average,80.1728,0.1507,0.9547,0.4653,0.2196,0.1726,0.6521
