Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,84.5034,0.8668,0.8202,0.8464,0.8565,0.6884,0.8972
2,83.3904,0.8791,0.7895,0.8041,0.8399,0.6709,0.8851
3,81.1644,0.8837,0.7416,0.7689,0.8223,0.6308,0.8569
4,81.7637,0.8643,0.7713,0.7896,0.8253,0.6382,0.8643
5,84.1610,0.9071,0.7812,0.7925,0.8460,0.6911,0.8764
Average,82.9966,0.8802,0.7808,0.8003,0.8380,0.6639,0.8760
