Fold,ACC,Sn,Sp,Pre,F1,MCC,AUC
1,49.3220,0.2184,0.8102,0.5702,0.3158,0.0353,0.5172
2,51.1864,0.4966,0.5267,0.5035,0.5000,0.0232,0.5021
3,55.2542,0.5819,0.5248,0.5370,0.5585,0.1068,0.5469
4,50.5085,0.1037,0.9175,0.5636,0.1751,0.0365,0.5103
5,54.5763,0.3993,0.6808,0.5355,0.4575,0.0835,0.5367
Average,52.1695,0.3600,0.6920,0.5420,0.4014,0.0570,0.5226
